"GridID","area","ORIGFID","Depth","DistCoast","x.pos","y.pos","impact"
154091,0.25,429,-14.42,9155,449805.73,6139765.76,0
155091,0.25,430,-13.87,8731,450305.73,6139765.76,0
156091,0.25,431,-12.79,8314,450805.73,6139765.76,0
157091,0.25,432,-10.75,7903,451305.73,6139765.76,0
158091,0.25,433,-9.1,7504,451805.73,6139765.76,0
159091,0.25,434,-9.93,7116,452305.73,6139765.76,0
148090,0.25,505,-16.27,11601,446805.73,6140265.76,0
149090,0.25,506,-15.86,11141,447305.73,6140265.76,0
150090,0.25,507,-15.68,10685,447805.73,6140265.76,0
151090,0.25,508,-15.55,10232,448305.73,6140265.76,0
152090,0.25,509,-14.99,9784,448805.73,6140265.76,0
153090,0.25,510,-14.51,9340,449305.73,6140265.76,0
154090,0.25,511,-14.07,8903,449805.73,6140265.76,0
155090,0.25,512,-13.35,8470,450305.73,6140265.76,0
156090,0.25,513,-11.89,8041,450805.73,6140265.76,0
157090,0.25,514,-9.73,7620,451305.73,6140265.76,0
158090,0.25,515,-8.62,7206,451805.73,6140265.76,0
159090,0.25,516,-9.66,6802,452305.73,6140265.76,0
150089,0.25,589,-15.7,10486,447805.73,6140765.76,0
151089,0.25,590,-15.06,10025,448305.73,6140765.76,0
152089,0.25,591,-14.52,9568,448805.73,6140765.76,0
153089,0.25,592,-13.99,9115,449305.73,6140765.76,0
154089,0.25,593,-13.53,8666,449805.73,6140765.76,0
155089,0.25,594,-12.93,8223,450305.73,6140765.76,0
156089,0.25,595,-10.56,7786,450805.73,6140765.76,0
157089,0.25,596,-9.29,7355,451305.73,6140765.76,0
158089,0.25,597,-9.01,6928,451805.73,6140765.76,0
159089,0.25,598,-9.36,6511,452305.73,6140765.76,0
151088,0.25,672,-14.65,9837,448305.73,6141265.76,0
152088,0.25,673,-14.03,9371,448805.73,6141265.76,0
153088,0.25,674,-13.53,8909,449305.73,6141265.76,0
154088,0.25,675,-13.07,8451,449805.73,6141265.76,0
155088,0.25,676,-12.45,7997,450305.73,6141265.76,0
156088,0.25,677,-11.2,7548,450805.73,6141265.76,0
157088,0.25,678,-9.47,7105,451305.73,6141265.76,0
158088,0.25,679,-9.3,6671,451805.73,6141265.76,0
159088,0.25,680,-9.23,6239,452305.73,6141265.76,0
153087,0.25,765,-13.03,8726,449305.73,6141765.76,0
154087,0.25,766,-12.72,8258,449805.73,6141765.76,0
155087,0.25,767,-12.16,7793,450305.73,6141765.76,0
156087,0.25,768,-10.98,7334,450805.73,6141765.76,0
157087,0.25,769,-9.83,6879,451305.73,6141765.76,0
158087,0.25,770,-9.33,6430,451805.73,6141765.76,0
159087,0.25,771,-8.71,5988,452305.73,6141765.76,0
154086,0.25,857,-12.15,8091,449805.73,6142265.76,0
155086,0.25,858,-11.59,7616,450305.73,6142265.76,0
156086,0.25,859,-10.77,7145,450805.73,6142265.76,0
157086,0.25,860,-9.66,6679,451305.73,6142265.76,0
158086,0.25,861,-8.83,6217,451805.73,6142265.76,0
159086,0.25,862,-7.74,5762,452305.73,6142265.76,0
156085,0.25,950,-10.06,6988,450805.73,6142765.76,0
157085,0.25,951,-9.88,6510,451305.73,6142765.76,0
158085,0.25,952,-8.89,6035,451805.73,6142765.76,0
159085,0.25,953,-6.82,5565,452305.73,6142765.76,0
157084,0.25,1042,-8.33,6376,451305.73,6143265.76,0
158084,0.25,1043,-7.85,5891,451805.73,6143265.76,0
159084,0.25,1044,-10.31,5408,452305.73,6143265.76,0
159083,0.25,1167,-5.95,5293,452305.73,6143765.76,0
160096,0.25,8750,-13.35,8646,452805.73,6137265.76,0
161096,0.25,8751,-12.8,8341,453305.73,6137265.76,0
160095,0.25,8752,-13.03,8241,452805.73,6137765.76,0
161095,0.25,8753,-12.55,7951,453305.73,6137765.76,0
160094,0.25,8754,-12.6,7847,452805.73,6138265.76,0
161094,0.25,8755,-12.05,7542,453305.73,6138265.76,0
160093,0.25,8756,-11.9,7465,452805.73,6138765.76,0
161093,0.25,8757,-11.49,7144,453305.73,6138765.76,0
160092,0.25,8758,-10.69,7096,452805.73,6139265.76,0
161092,0.25,8759,-10.91,6759,453305.73,6139265.76,0
160091,0.25,8760,-10.87,6744,452805.73,6139765.76,0
161091,0.25,8761,-10.35,6389,453305.73,6139765.76,0
160090,0.25,8762,-10.09,6412,452805.73,6140265.76,0
161090,0.25,8763,-9.65,6037,453305.73,6140265.76,0
160089,0.25,8764,-9.36,6102,452805.73,6140765.76,0
161089,0.25,8765,-9.18,5708,453305.73,6140765.76,0
160088,0.25,8766,-8.84,5817,452805.73,6141265.76,0
161088,0.25,8767,-8.28,5404,453305.73,6141265.76,0
160087,0.25,8768,-8.04,5555,452805.73,6141765.76,0
161087,0.25,8769,-7.16,5126,453305.73,6141765.76,0
160086,0.25,8770,-6.92,5312,452805.73,6142265.76,0
161086,0.25,8771,-6.15,4871,453305.73,6142265.76,0
160085,0.25,8772,-6.31,5101,452805.73,6142765.76,0
161085,0.25,8773,-5.38,4644,453305.73,6142765.76,0
160084,0.25,8774,-5.35,4929,452805.73,6143265.76,0
161084,0.25,8775,-4.67,4454,453305.73,6143265.76,0
160083,0.25,8776,-9.56,4803,452805.73,6143765.76,0
161083,0.25,8777,-3.63,4314,453305.73,6143765.76,0
160082,0.25,8778,-5.62,4710,452805.73,6144265.76,0
161082,0.25,8779,-7.22,4217,453305.73,6144265.76,0
97096,0.25,0,-22.06,28621,421305.73,6137265.76,0
98096,0.25,1,-21.99,28270,421805.73,6137265.76,0
99096,0.25,2,-21.93,27924,422305.73,6137265.76,0
100096,0.25,3,-21.89,27582,422805.73,6137265.76,0
101096,0.25,4,-21.89,27245,423305.73,6137265.76,0
102096,0.25,5,-21.92,26913,423805.73,6137265.76,0
103096,0.25,6,-21.99,26586,424305.73,6137265.76,0
104096,0.25,7,-21.97,26265,424805.73,6137265.76,0
105096,0.25,8,-21.8,25950,425305.73,6137265.76,0
106096,0.25,9,-21.61,25640,425805.73,6137265.76,0
107096,0.25,10,-21.44,25337,426305.73,6137265.76,0
108096,0.25,11,-21.26,25039,426805.73,6137265.76,0
109096,0.25,12,-21.09,24749,427305.73,6137265.76,0
110096,0.25,13,-20.84,24465,427805.73,6137265.76,0
111096,0.25,14,-20.41,24188,428305.73,6137265.76,0
112096,0.25,15,-19.89,23918,428805.73,6137265.76,0
113096,0.25,16,-19.31,23651,429305.73,6137265.76,0
114096,0.25,17,-18.71,23391,429805.73,6137265.76,0
115096,0.25,18,-18.09,23139,430305.73,6137265.76,0
116096,0.25,19,-17.41,22895,430805.73,6137265.76,0
117096,0.25,20,-16.72,22660,431305.73,6137265.76,0
118096,0.25,21,-16.86,22432,431805.73,6137265.76,0
119096,0.25,22,-17.1,22212,432305.73,6137265.76,0
120096,0.25,23,-17.3,21999,432805.73,6137265.76,0
121096,0.25,24,-17.49,21791,433305.73,6137265.76,0
122096,0.25,25,-17.68,21585,433805.73,6137265.76,0
123096,0.25,26,-17.97,21380,434305.73,6137265.76,0
124096,0.25,27,-17.93,21183,434805.73,6137265.76,0
125096,0.25,28,-17.77,20958,435305.73,6137265.76,0
126096,0.25,29,-17.6,20733,435805.73,6137265.76,0
127096,0.25,30,-17.43,20508,436305.73,6137265.76,0
128096,0.25,31,-17.26,20289,436805.73,6137265.76,0
129096,0.25,32,-17.1,20074,437305.73,6137265.76,0
130096,0.25,33,-16.92,19870,437805.73,6137265.76,0
131096,0.25,34,-16.73,19551,438305.73,6137265.76,0
132096,0.25,35,-16.51,19228,438805.73,6137265.76,0
133096,0.25,36,-16.3,18893,439305.73,6137265.76,0
134096,0.25,37,-16.13,18549,439805.73,6137265.76,0
135096,0.25,38,-16.02,18211,440305.73,6137265.76,0
136096,0.25,39,-15.98,17877,440805.73,6137265.76,0
137096,0.25,40,-15.95,17548,441305.73,6137265.76,0
138096,0.25,41,-15.82,17201,441805.73,6137265.76,0
139096,0.25,42,-15.37,16857,442305.73,6137265.76,0
97095,0.25,63,-21.95,28270,421305.73,6137765.76,0
98095,0.25,64,-21.9,27914,421805.73,6137765.76,0
99095,0.25,65,-21.88,27563,422305.73,6137765.76,0
100095,0.25,66,-21.87,27217,422805.73,6137765.76,0
101095,0.25,67,-21.89,26875,423305.73,6137765.76,0
